Mission ,Song,PerformedBy
STS-1,Blast-Off Columbia ,Roy McCall
STS-1,Reveille ,Unkown
STS-2,Pigs in Space 1,The Muppets
STS-2,Pigs in Space 2,The Muppets
STS-3,On the Road Again,Willie Nelson
STS-3,Marine Corps Hymn,Marines
STS-3,Off We Go Into the Wild Blue Yonder,USAF
STS-3,Sail Away,Christopher Cross
STS-3,Those Magnificent Men in Their Flying Machines,Ron Goodwin
STS-3,Six Days on the Road and I’m Gonna Make It Home Tonight,Dave Dudley
STS-3,This is My Country,Don Raye
STS-4,"Up, Up and Away",The 5th Dimension
STS-4,Hold That Tiger,Auburn University Band
STS-4,family messages,Hartsfield Family
STS-4,Theme from Chariots of Fire,Vangelis
STS-4,fraternity songs: Delta Tau Delta and Delta Chi,Various Artists
STS-4,This is My Country,Don Raye
STS-5,76 Trombones,Music Man
STS-5,Cotton-eyed Joe,Unkown
STS-5,Marine Corps Hymn,Marines
STS-5,The Stroll,The Diamonds
STS-5,"Take Me Home, Country Roads",John Denver
STS-6,Cadets on Parade,USAF
STS-6,Off We Go Into the Wild Blue Yonder,USAF
STS-6,Teach Me Tiger,April Stevens
STS-6,Theme from F-Troop,William Lava
STS-6,The Poor Co-pilot,Oscar Brand and the Roger Wilco 4
STS-6,Ode to the Lions,Rusty Gordon
STS-7,"A&M, Texas A&M Aggie War Hymn",Texas A&M University 
STS-7,The University of Texas Fight Song,The University of Texas
STS-7,"A&M, Texas A&M Aggie War Hymn",Texas A&M University
STS-7,Tufts Tonia's Day,Tufts University Beelzebubs
STS-7,"A&M, Texas A&M Aggie War Hymn",Texas A&M University
STS-7,Reveille,Unkown
STS-7,When You're Smiling,Dean Martin
STS-7,"A&M, Texas A&M Aggie War Hymn",Texas A&M University
STS-7,Washington State University Cougar Fight Song,Washington State University 
STS-7,"A&M, Texas A&M Aggie War Hymn",Texas A&M University
STS-7,Stanford Hymn,Leeland Stanford Junior University Marching Band
STS-7,"A&M, Texas A&M Aggie War Hymn",Texas A&M University 
STS-7,Florida State University Fight Song,Florida State University Marching Chiefs
STS-8,Georgia Tech Fight Song,Georgia Tech
STS-8,Illinois Fight Song,University of Illinois
STS-8,Penn State Fight Song,Penn State
STS-8,University of North Carolina Fight Song,University of North Carlina
STS-8,Tala Sawari,Ravi Shankar
STS-8,Semper Fidelis,John Philip Sousa
STS-41-B,A Train,Contraband
STS-41-B,"Glory, Glory, Colorado",University of Colorado 
STS-41-B,Ride High You Mustangs,Cal Poly State University
STS-41-B,Armed Forces Medley,Armed Forces
STS-41-B,North Carolina A&T University alma mater,North Carolina University 
STS-41-B,Southern to the Top,University of Southern Mississippi
STS-41-B,Believe It Or Not (Theme from The Greatest American Hero),Joey Scarbury
STS-41-B,Off We Go Into the Wild Blue Yonder,USAF
STS-41-B,In the Mood,Contraband
STS-41-C,A Boy Named Sue,Johnny Cash
STS-41-C, University of California at Berkeley Fight Song,University of California at Berkeley
STS-41-C,Lehigh University Fight Song,Lehigh University 
STS-41-C,Believe It Or Not (Theme from The Greatest American Hero),Joey Scarbury
STS-41-C,Theme from Chariots of Fire,Vangelis
STS-41-C,Gonna Fly Now (Theme From Rocky),Bill Conti
STS-41-C,Please Release Me parody,Mission Control Houston
STS-41-C,The University of Texas Fight Song,The University of Texas
STS-41-C,University of Arizona Fight Song,University of Arizona
STS-41-D,Anchors Aweigh ,US Navy
STS-41-D,Telstar,The Ventures
STS-41-D,Mr. Spaceman,The Byrds
STS-41-D,Hair,Unkown
STS-41-D,Eight Miles High,The Byrds
STS-41-G,Flashdance… What a Feeling,Irene Cara
STS-41-G,Leaving on a Jet Plane,John Denver
STS-41-G,Song of Jon McBride,Unkown
STS-41-G,Gonna Fly Now (Theme From Rocky),Bill Conti
STS-41-G,Navy Wings are Made of Gold,US Navy
STS-41-G,"Take Me Home, Country Roads",John Denver
STS-41-G,Star Wars (Main Title),John Williams
STS-41-G,Boomer Sooner,University of Oaklahoma
STS-41-G,Rocket Man,Elton John 
STS-51-A,Good Morning Starshine,Oliver Dragojevic
STS-51-A,Marine Corps Hymn,Marines
STS-51-A,Theme from Victory at Sea," Richard Rodgers, Robert Russell Bennett"
STS-51-A,The Eagle and the Hawk,John Denver
STS-51-A,Aria from the opera “Carmen”,Georges Bizet
STS-51-A,1812 Overture,Tchaikovsky
STS-51-A,"Theme from ""For a Few Dollars More""",Ennio Morricone
